mode,symbol,category,frequency_GHz,T1_us,T1_err_us,TR_us,TR_err_us,Techo_us,Techo_err_us
Qubit,omega_q,Qubit,3.568,493.0,13.1,259.0,8.0,370.0,14.0
Coupler,omega_c,Coupler,4.037,45.0,0.8,0.39,0.04,,
Buffer 1,omega_b1,Buffer,4.984,209.0,5.1,75.5,3.8,219.0,7.0
Buffer 2,omega_b2,Buffer,5.158,120.0,1.3,70.6,5.4,193.0,6.7
Storage 1,omega_s1,Storage,5.333,358.3,6.0,235.7,7.1,551.6,16.8
Storage 2,omega_s2,Storage,5.505,1254.8,30.2,378.3,15.1,1493.2,53.5
Storage 3,omega_s3,Storage,5.681,799.0,12.7,677.2,16.8,1309.9,41.8
Storage 4,omega_s4,Storage,5.860,597.4,11.9,806.2,23.7,972.4,29.8
Storage 5,omega_s5,Storage,6.037,355.7,5.5,591.8,15.2,663.3,22.7
Storage 6,omega_s6,Storage,6.229,589.5,12.9,1071.1,63.0,1048.4,54.1
Storage 7,omega_s7,Storage,6.407,371.2,6.4,663.5,29.0,692.7,22.7
Dump 1,omega_d1,Dump,7.297,0.73,0.03,,,,
Dump 2,omega_d2,Dump,7.252,1.81,0.11,,,,
Readout,omega_r,Readout,8.051,0.05,0.01,,,,
