time_us,avgi,avgq,qubit_pop_norm
0.0070,181.0819,95.2239,1.00000
0.0570,161.0116,75.0732,0.95004
0.1070,131.7948,57.7439,0.89125
0.1570,106.0222,24.1443,0.81814
0.2070,37.6989,-21.2965,0.67495
0.2570,13.7971,-43.6844,0.61732
0.3070,-24.9759,-91.0716,0.51099
0.3570,-128.2643,-174.5251,0.27740
0.4070,-145.9678,-183.8496,0.24314
0.4570,-176.5014,-224.0430,0.15607
0.5070,-221.3839,-246.0643,0.07110
0.5570,-245.7381,-271.8560,0.00892
0.6070,-230.7259,-265.5795,0.03608
0.6570,-230.5249,-265.2386,0.03674
0.7070,-206.0513,-249.4895,0.08742
0.7570,-182.7380,-224.5897,0.14718
0.8070,-136.7361,-185.5036,0.25344
0.8570,-98.0606,-138.4799,0.35922
0.9070,-53.8900,-102.7998,0.45911
0.9570,-4.5621,-59.7369,0.57439
1.0070,55.2702,-17.0993,0.70308
1.0570,104.0339,26.2657,0.81797
1.1070,127.7980,50.7230,0.87781
1.1570,167.2670,92.8956,0.97901
1.2070,153.1491,78.6645,0.94380
1.2570,165.3391,90.9947,0.97425
1.3070,146.5428,67.3793,0.92196
1.3570,126.3082,42.8830,0.86674
1.4070,96.1403,19.5361,0.79971
1.4570,35.0709,-26.3121,0.66565
1.5070,-29.2012,-77.5294,0.52112
1.5570,-75.1688,-138.8028,0.38915
1.6070,-114.4226,-159.4324,0.31324
1.6570,-132.6300,-181.6708,0.26333
1.7070,-198.0737,-244.3984,0.10389
1.7570,-237.4736,-266.6369,0.02592
1.8070,-240.7752,-274.4023,0.01254
1.8570,-225.1022,-270.2469,0.03811
1.9070,-232.6596,-259.7545,0.04028
1.9570,-193.8369,-242.3409,0.11188
2.0070,-168.4436,-214.2468,0.17811
2.0570,-117.8438,-171.0173,0.29527
2.1070,-93.6782,-141.1289,0.36195
2.1570,-41.9947,-108.3667,0.46839
2.2070,26.1644,-43.3759,0.63405
2.2570,92.2650,8.1203,0.78133
2.3070,117.5823,33.3633,0.84414
2.3570,128.9043,46.3247,0.87417
2.4070,146.6594,80.9825,0.93790
2.4570,159.0868,68.4915,0.93985
2.5070,154.4917,69.9893,0.93551
2.5570,130.1203,50.5015,0.88063
2.6070,81.7361,10.7686,0.77046
2.6570,75.1917,-0.9427,0.74821
2.7070,26.1607,-45.5501,0.63152
2.7570,-25.1033,-96.2997,0.50476
2.8070,-102.7944,-151.6354,0.33769
2.8570,-115.1493,-167.1895,0.30328
2.9070,-176.0009,-208.3103,0.17500
2.9570,-200.6837,-232.5450,0.11419
3.0070,-229.2748,-268.5365,0.03457
3.0570,-239.0293,-274.0579,0.01525
3.1070,-232.4944,-266.6166,0.03253
3.1570,-218.9805,-261.4516,0.05642
3.2070,-203.6437,-229.6285,0.11366
3.2570,-140.5825,-191.6007,0.24127
3.3070,-95.8988,-147.9632,0.35108
3.3570,-60.6806,-125.6391,0.42361
3.4070,-6.1231,-69.5923,0.56088
3.4570,48.5323,-26.2044,0.68359
3.5070,85.7954,23.6406,0.79078
3.5570,127.6170,48.4101,0.87489
3.6070,159.2968,64.5153,0.93552
3.6570,162.4520,83.7032,0.96197
3.7070,148.8561,71.8796,0.93025
3.7570,145.9715,57.2964,0.90950
3.8070,112.1535,42.5198,0.84758
3.8570,70.9540,-2.3128,0.74101
3.9070,37.7229,-21.0867,0.67523
3.9570,-32.2814,-99.2990,0.49177
4.0070,-36.8398,-97.3974,0.48795
4.0570,-115.7500,-172.5117,0.29630
4.1070,-157.5418,-185.6861,0.22569
4.1570,-193.9384,-231.7779,0.12401
4.2070,-216.7982,-261.3494,0.05943
4.2570,-240.0225,-273.1400,0.01500
4.3070,-249.9692,-274.7171,0.00000
4.3570,-215.9838,-249.9471,0.07374
4.4070,-212.4680,-242.9267,0.08654
4.4570,-154.8520,-202.4475,0.20980
4.5070,-133.7397,-181.7194,0.26180
4.5570,-73.5716,-119.4499,0.41373
4.6070,-38.4669,-92.5521,0.49142
4.6570,14.7833,-59.4638,0.60031
4.7070,67.8257,-17.6464,0.71907
4.7570,95.3878,31.1863,0.81223
4.8070,137.9011,53.5548,0.89447
4.8570,159.6728,79.8386,0.95380
4.9070,162.9973,92.4284,0.97282
4.9570,164.7375,74.2976,0.95407
5.0070,133.5418,45.5751,0.87944
