,Q,C,B1,B2,S1,S2,S3,S4,S5,S6,S7,R
Q,-143000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,-57120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,-285.0,-1452.0,-6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,-271.0,0.0,-15.0,-5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,0.0,-422.0,-3.336,0.0,-0.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,0.0,-412.0,-1.838,0.0,-0.178,-0.062,0.0,0.0,0.0,0.0,0.0,0.0
S3,0.0,-202.0,-1.192,0.0,-0.076,-0.044,0.073,0.0,0.0,0.0,0.0,0.0
S4,0.0,-62.0,-1.344,0.0,-0.061,-0.046,-0.02,0.954,0.0,0.0,0.0,0.0
S5,0.0,-278.0,-0.6,0.0,-0.037,-0.046,-0.038,-0.016,-0.466,0.0,0.0,0.0
S6,0.0,-192.0,-0.716,0.0,-0.043,-0.017,-0.041,-0.012,-0.019,-0.194,0.0,0.0
S7,0.0,-232.0,-0.525,0.0,-0.005,-0.03,-0.007,-0.025,-0.009,-0.011,0.048,0.0
R,-320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
