target_mode,spectator_mode,eps,eps_err
1,1,0,0
1.0,2.0,0.004654275350806502,0.0011777453230759445
1.0,3.0,0.0011846156133478404,0.00026095481044484853
1.0,4.0,-0.0001272246772787735,0.00020368293265227294
1.0,5.0,-0.0010785727885856198,0.00013267600433462364
1.0,6.0,0.00011057092530727475,0.00021148850107802612
1.0,7.0,-0.00045215792835911914,0.00012495297087565313
2.0,1.0,0.0002047915423693076,0.0001205325935048086
2,2,0,0
2.0,3.0,0.00742043112793796,0.00165630701847636
2.0,4.0,0.000652619479836252,0.0001921204515646247
2.0,5.0,0.00032624606653670305,0.00015561878776606375
2.0,6.0,0.0015759326565932886,0.0004179079429462809
2.0,7.0,0.001366203466644088,0.0002294669082016663
3.0,1.0,0.000717823984972506,0.00018425698844320426
3.0,2.0,0.0005737717885751423,0.00036019208443812556
3,3,0,0
3.0,4.0,0.0003650683238800008,0.00017802603959249903
3.0,5.0,-0.00020203926626581164,0.0002044858564640687
3.0,6.0,0.00038598482022798115,0.00017756704230366787
3.0,7.0,0.0004492290687521441,0.00029786148481465794
4.0,1.0,-0.0003895986018829446,0.00043022721792183193
4.0,2.0,-0.0005852083933927847,0.00040173146836859066
4.0,3.0,-0.00026663697564197866,7.925190151288506e-05
4,4,0,0
4.0,5.0,0.00042983898862956476,0.0003178018033636075
4.0,6.0,0.009326002582630059,0.0005961026154009918
4.0,7.0,-0.0008335139456758609,0.000432719574395373
5.0,1.0,-0.0011961484550508368,0.00047428989270649415
5.0,2.0,-0.000385800469938173,0.00021160112559015604
5.0,3.0,-8.138599148463213e-05,0.00025501976397125154
5.0,4.0,-0.00045375082559345634,0.0002913394762908883
5,5,0,0
5.0,6.0,0.00012482451739571774,0.00016844513106532746
5.0,7.0,-0.00037306548520485834,0.00032929989101448037
6.0,1.0,6.027383401185391e-05,0.0010492218113973342
6.0,2.0,-0.0017146731982739332,0.0007129770049846285
6.0,3.0,-0.0006064021106597331,0.00040594452856171294
6.0,4.0,-0.0021403265701193637,0.00081192522563438
6.0,5.0,-0.0024064873648941745,0.0009204334800030348
6,6,0,0
6.0,7.0,-0.000812495593502756,0.0002975753465571422
7.0,1.0,7.655052994649122e-05,0.0003480494007585502
7.0,2.0,0.004121474682630363,0.00011864885347686307
7.0,3.0,0.0005506388502706617,0.00026732101601744236
7.0,4.0,0.0003360067640256275,0.00017075457407555487
7.0,5.0,-0.0007301402779346642,0.0003284286284713018
7.0,6.0,9.3369282289474e-05,0.0001643534501879045
7,7,0,0
