target_mode,spectator_mode,dephasing_kHz,dephasing_err_kHz
S1,S1,,
S1,S2,0.23725476592373784,0.10901981939805545
S1,S3,1.0891545941986633,0.09663095920134654
S1,S4,7.181958253636044,0.21602185421648337
S1,S5,2.6253922506726433,0.11616017942166185
S1,S6,11.254441934519932,0.4019624817353513
S1,S7,6.496399817351071,0.18621597845404017
S2,S1,6.303857325987038,0.5326904741629334
S2,S2,,
S2,S3,0.2264180914523406,0.05052066545784282
S2,S4,2.4642471655841733,0.09486901362261878
S2,S5,0.19512083901313781,0.054263540915987486
S2,S6,0.06650064710612158,0.06476253485109151
S2,S7,11.849195778265308,0.26585763892326664
S3,S1,2.0607678058841676,0.15027698638527534
S3,S2,6.997537333560514,1.293096868967427
S3,S3,,
S3,S4,2.2880936442809636,0.09027553889747687
S3,S5,1.6977389749007579,0.27501894441247793
S3,S6,0.1896596822658927,0.08065803223260982
S3,S7,2.69425103089746,0.29360924447177467
S4,S1,4.343190987145488,0.21928258053663197
S4,S2,0.9875976659766266,0.08583406642744419
S4,S3,1.3631955051884337,0.18077753090622814
S4,S4,,
S4,S5,0.9873676453845486,0.055855714913944775
S4,S6,0.2817913515706012,0.05264376505051666
S4,S7,3.088315702702218,0.07883890597795284
S5,S1,0.16899371804314578,0.08312873501698138
S5,S2,0.1647547341661002,0.07894429513213787
S5,S3,0.2559511269988728,0.07999137975421432
S5,S4,2.940474389405506,0.1051785128941192
S5,S5,,
S5,S6,0.24315206209944296,0.06040872324898485
S5,S7,3.552466353574811,0.11212869290854527
S6,S1,0.9063826186679285,0.10795511998534547
S6,S2,1.280083957406023,0.14800347603453068
S6,S3,1.0236309576535376,0.12545422433614536
S6,S4,18.751919795501642,0.9924511948256418
S6,S5,0.8420295178363824,0.0718388122937539
S6,S6,,
S6,S7,2.8483636564923964,0.12864212543257103
S7,S1,0.9931399983692593,0.13287102671421155
S7,S2,0.854122433198848,0.10483523543369902
S7,S3,0.5096420015864955,0.10632471523350197
S7,S4,2.7634930928442287,0.13342104611246997
S7,S5,0.8807944185184173,0.06601657102762208
S7,S6,0.5023525117310073,0.07720284832967267
S7,S7,,
